iter	MultiClass
0	0.9949249367
1	0.9356508914
2	0.8728622337
3	0.8260968406
4	0.7613594606
5	0.6965658975
6	0.6529280542
7	0.6124113824
8	0.5717429353
9	0.5321268309
10	0.502985088
11	0.4691340956
12	0.4425320968
13	0.4153653812
14	0.3956046363
15	0.3826879954
16	0.3586342735
17	0.3346435922
18	0.3228978657
19	0.3080122904
20	0.2923332689
21	0.2757528684
22	0.2642860976
23	0.2478471267
24	0.2386986409
25	0.2292936947
26	0.2195179839
27	0.2080905132
28	0.1987832989
29	0.1914484229
30	0.1834014652
31	0.1743776173
32	0.1679971174
33	0.1626372309
34	0.1578322581
35	0.1513377916
36	0.1465405797
37	0.1417967231
38	0.1355231395
39	0.1300029043
40	0.1263611028
41	0.1199510512
42	0.1174966303
43	0.1120564258
44	0.1089118803
45	0.1051589903
46	0.1010459904
47	0.09857276682
48	0.09602755406
49	0.09386002518
50	0.09062139693
51	0.08850558305
52	0.08619391897
53	0.08303713746
54	0.0807209684
55	0.07833575268
56	0.07533738794
57	0.07253976687
58	0.07118601751
59	0.06870154494
60	0.06740877428
61	0.06564042711
62	0.0637894143
63	0.0624707949
64	0.06013375846
65	0.05836682272
66	0.05734083119
67	0.0559817649
68	0.05496662637
69	0.05400193167
70	0.05321958236
71	0.0517469912
72	0.05042849984
73	0.04918779952
74	0.04822408631
75	0.04756403849
76	0.04662605126
77	0.04541153536
78	0.04417168615
79	0.04339693228
80	0.0422132969
81	0.04154270477
82	0.04049565716
83	0.03983691927
84	0.03878901224
85	0.03815465291
86	0.0376145045
87	0.03694885499
88	0.03628061737
89	0.0357103847
90	0.03511652786
91	0.0344326432
92	0.03403106657
93	0.03320269582
94	0.03242927511
95	0.03184911952
96	0.03113947666
97	0.03058624778
98	0.0299592562
99	0.02962705732
100	0.0292223767
101	0.02882592443
102	0.02849558029
103	0.02781008952
104	0.02741875115
105	0.02697627392
106	0.02672808141
107	0.02645325966
108	0.02621248938
109	0.02600492508
110	0.02554323388
111	0.02513003073
112	0.02485201999
113	0.02451135974
114	0.02414671507
115	0.02397826608
116	0.02363409697
117	0.02338100784
118	0.02318134108
119	0.02282813114
120	0.02261195733
121	0.02230020082
122	0.02208375599
123	0.02189859713
124	0.02165315011
125	0.021485145
126	0.02134518365
127	0.02117986085
128	0.0209750031
129	0.02082023923
130	0.0206631887
131	0.02051552088
132	0.02024497372
133	0.02009909811
134	0.01987927384
135	0.01977247702
136	0.0195599216
137	0.01932719222
138	0.01910756913
139	0.0189576217
140	0.01879390662
141	0.01866265815
142	0.01855845971
143	0.01843598834
144	0.01828023163
145	0.01815762527
146	0.01802959717
147	0.0179183639
148	0.01778885337
149	0.01767440839
150	0.01753749173
151	0.01737576743
152	0.01726716584
153	0.01716313948
154	0.01698734613
155	0.01684661172
156	0.01674457452
157	0.01660528795
158	0.01649472495
159	0.01639644703
160	0.01629836303
161	0.01620589332
162	0.01611125583
163	0.01601549239
164	0.01592642691
165	0.01577437672
166	0.01567307016
167	0.01559186598
168	0.01551500999
169	0.01536543312
170	0.01528404117
171	0.01516272412
172	0.0150825529
173	0.01499966936
174	0.01491218221
175	0.01480666187
176	0.01466061916
177	0.01458342635
178	0.01449554609
179	0.0144074508
180	0.01430783868
181	0.01421817013
182	0.01411535417
183	0.01404229007
184	0.01397396464
185	0.01389533048
186	0.01383424086
187	0.01371463527
188	0.01363933514
189	0.01357255866
190	0.01345632101
191	0.01334692979
192	0.0132506214
193	0.01318778012
194	0.01311482852
195	0.01300627923
196	0.01294785517
197	0.01288793314
198	0.01283030622
199	0.01277353801
200	0.01271507694
201	0.01265937262
202	0.01256239322
203	0.01246694779
204	0.01241033876
205	0.01235840322
206	0.01230244384
207	0.01222802044
208	0.01213354407
209	0.01207972567
210	0.01202070068
211	0.0119554389
212	0.01189823027
213	0.01184760237
214	0.01179143883
215	0.01173558421
216	0.01168231371
217	0.01163352191
218	0.01158066643
219	0.01148905431
220	0.01144368577
221	0.01139688115
222	0.0113522701
223	0.01128922408
224	0.01123573462
225	0.01119247128
226	0.0111130859
227	0.01107072326
228	0.01101976738
229	0.01096979564
230	0.01092361306
231	0.01088100128
